gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
large,181,0.1,0.15327458408649974,-38,38,2.77115964E8
large,186,0.1,0.17807539661461824,-75,75,2.81890946E8
large,191,0.1,0.13187075480396615,-27,27,2.83948001E8
large,196,0.1,0.17201715271325035,-72,72,2.85832946E8
large,201,0.1,0.14045446426239572,-24,24,2.8696919E8
large,206,0.1,0.22919436865940046,-125,125,2.88337015E8
large,211,0.1,0.17556931641291484,-23,23,2.89606773E8
large,216,0.1,0.21066931171107406,-42,42,2.9744666E8
large,221,0.1,0.24856841180790745,-28,28,2.98885772E8
large,226,0.1,0.2212517894271988,-52,52,2.99677401E8
large,231,0.1,0.25697300182915583,-58,58,3.03632003E8
large,236,0.1,0.2657349583116062,-44,44,3.04937995E8
large,241,0.1,0.2305360333894182,-50,50,3.06374349E8
large,246,0.1,0.15788012582528932,-109,109,3.07296341E8
large,251,0.1,0.2326396172839882,-20,20,3.10901603E8
large,256,0.1,0.2605283886648335,-51,51,3.11715681E8
large,261,0.1,0.18329392566568892,-23,23,3.14081905E8
large,266,0.1,0.18213789936242897,-199,199,3.18978585E8
large,271,0.1,0.20890975217396024,-20,20,3.20479924E8
large,276,0.1,0.24040923435187134,-25,25,3.29610443E8
large,281,0.1,0.1757170067312579,-265,265,3.31350059E8
large,286,0.1,0.1607356255874688,-23,23,3.32213368E8
large,291,0.1,0.22198523408367477,-22,22,3.33081009E8
large,296,0.1,0.22334961232516015,-37,37,3.34060109E8
large,301,0.1,0.08270069862091489,-18,18,3.3486828E8
large,306,0.1,0.21098865257219757,-38,38,3.36100623E8
large,311,0.1,0.2024407366929708,-33,33,3.37697272E8
large,316,0.1,0.25712138004561425,-34,34,3.38377837E8
large,321,0.1,0.19507560060134388,-30,30,3.39518413E8
large,326,0.1,0.19364692741991973,-31,31,3.41383665E8
large,331,0.1,0.19429571394174872,-48,48,3.46595422E8
large,336,0.1,0.23667763489561455,-19,19,3.47329156E8
large,341,0.1,0.2614013047051804,-41,41,3.48125906E8
large,346,0.1,0.216021259833717,-39,39,3.48830495E8
large,351,0.1,0.21272150844168358,-32,32,3.51228227E8
large,356,0.1,0.19420840237060943,-19,19,3.51823721E8
large,361,0.1,0.1833602666434908,-19,19,3.52812273E8
large,366,0.1,0.1853534919055182,-19,19,3.53270709E8
large,371,0.1,0.07135221904331068,-19,19,3.53892591E8
large,376,0.1,0.21983723065246785,-21,21,3.54413255E8
large,381,0.1,0.2354655885865755,-29,29,3.54996934E8
large,386,0.1,0.2253695107613467,-45,45,3.55605819E8
large,391,0.1,0.2381089271158583,-29,29,3.56139479E8
large,396,0.1,0.20677511495963863,-52,52,3.56800746E8
large,401,0.1,0.24009696742651987,-34,34,3.574372E8
large,406,0.1,0.2244130066973078,-31,31,3.58364312E8
large,411,0.1,0.2374304055268288,-51,51,3.59057874E8
large,416,0.1,0.2221833068263397,-41,41,3.59621861E8
large,421,0.1,0.07158080654630972,-15,15,3.60578905E8
large,426,0.1,0.22522362850688005,-26,26,3.67166758E8
large,431,0.1,0.2136531169401481,-23,23,3.67683877E8
large,436,0.1,0.19847471701154973,-19,19,3.68241956E8
large,441,0.1,0.20189157410613667,-28,28,3.68850054E8
large,446,0.1,0.18717381433505675,-113,113,3.69788587E8
large,451,0.1,0.2312334207176523,-31,31,3.70290347E8
large,456,0.1,0.24549520614263942,-32,32,3.70900413E8
large,461,0.1,0.14584149853609674,-24,24,3.71456523E8
large,466,0.1,0.25881143777286253,-21,21,3.72009088E8
large,471,0.1,0.20536470443811083,-22,22,3.7256953E8
large,476,0.1,0.22464673882774822,-28,28,3.73168963E8
large,481,0.1,0.19825838252428163,-26,26,3.73701836E8
